Blog	four	looking	here	music	until	want	travel	series	re	service	needed	project	tech	came	saying	best	asked	much	life	kids	things	had	easy	possible	right	old	people	o	support	happy	inside	later	time	team	along	love	working	awesome	such	data	so	years	course	didn	internet	million	quite	city	future	san	say	take	drive	ways	going	where	many	wants	photos	former	technology	being	around	world	power	favorite	mean	image	her	am	having	th	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	also	play	set	see	available	let	community	recent	person	d	continue	anything	into	line	up	us	ago	code	results	try	video	great	makes	tools	next	high	move	doing	could	put	system	haven	fact	should	means	stuff	email	ve	site	off	less	web	government	five	become	does	worth	told	word	work	interview	then	them	they	network	another	do	away	com	launched	photo	night	post	months	way	together	change	live	car	write	product	still	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	food	real	read	early	using	business	your	start	lot	trying	building	month	very	learned	finally	actually	event	since	reason	american	pretty	x	close	won	probably	both	help	else	look	while	game	some	doesn	e	during	go	facebook	click	started	links	hit	him	front	keep	need	able	based	she	computer	key	problem	well	page	twitter	home	he	amp	companies	likely	even	new	ever	never	tell	rights	give	before	personal	better	went	used	open	content	isn	seen	don	m	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	popular	down	did	run	box	making	may	man	maybe	talk	nbsp	interesting	after	language	thing	think	first	little	were	paid	especially	show	get	enough	reading	across	according	those	different	pay	same	money	again	important	u	starting	issues	public	search	two	share	needs	plans	through	someone	everyone	house	hard	idea	done	least	part	b	build	most	find	please	simple	create	understand	fun	itself	spend	source	big	bit	google	often	back	either	single	entire	others	ll	day	announced	text	national	taking	almost	ios	thought	add	happens	buy	under	every	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	their	top	too	took	though	watch	amazon	report	news	several	everything	why	check	no	when	says	water	today	happened	name	turn	place	view	given	any	ideas	sure	state	outside	come	case	good	party	week	without	seems	blog	there	far	list	version	known	short	might	number	feel	story	kind	nothing	his	wrote	art	recently	question	long	called	nice	users	once	app	use	few	women	something	united	instead	our	out	york	update	which	who	april	last	gets	point	book	know	because	getting	own	made	other
Captain's Quarters	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	3	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	1	2	2	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	1	0	1	0	0	2	2	0	0	1	0	1	1	0	1	0	0	6	0	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	2	0	0	2	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	6	0	3	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
Just Blog	0	1	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	4	0	0	0	4	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	1	0	2	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	20	0	1	0	5	0	0	0	0	0	1	2	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	5	1	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	8	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	20	0	0	2	0	0	5	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	2
no title	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blog maverick	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	3	3	0	0	4	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	1	3	0	0	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	1	1	0	1	0	1	2	0	1	0	4	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	4	3	1	1	4	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	2	0	1	2	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	3	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	0	1	1	0	1	1	0	3	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
Topix Blog	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	3	0	0	3	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	1	1	0	0	3	3	0	0	0	0	0	0	3	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	3	0	1	3	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	2	3	0	2	0	0	0	4	0	0	2	1	0	0	0	0	0	0	1	1	1	3	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	21	2	0	0	0	1	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	3	1	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	3	1	0	1	0	0	0	1	5	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	2	1	0	0	6	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1
kottke.org	0	0	7	12	0	2	2	1	6	1	0	1	1	4	1	3	1	5	9	1	4	5	1	0	6	5	10	0	2	0	0	3	20	0	0	6	2	1	1	3	12	12	1	2	1	0	0	6	4	0	1	4	0	0	5	2	0	0	3	0	0	4	3	8	2	3	0	2	5	1	0	5	0	3	2	0	1	0	11	2	1	1	5	2	1	2	10	1	1	9	3	2	1	0	2	1	0	1	7	1	13	11	5	3	3	0	35	9	2	3	0	0	0	1	4	1	0	0	2	2	0	1	0	11	1	6	1	1	0	4	0	4	2	0	2	2	2	4	7	17	1	1	3	2	0	0	2	3	5	0	4	1	2	2	5	1	0	2	5	5	3	1	0	6	0	1	0	10	5	0	0	9	5	6	2	3	0	6	1	9	2	5	2	0	0	1	1	1	2	0	2	1	11	1	2	0	1	2	3	0	0	3	0	0	8	4	0	3	3	1	0	2	0	3	1	1	0	3	1	2	6	3	0	0	5	0	0	1	5	2	0	2	6	9	0	1	4	0	1	1	1	1	2	5	1	1	2	5	5	2	3	0	3	3	0	1	0	8	5	1	5	3	2	2	0	2	3	2	0	1	5	2	3	0	246	2	8	7	4	7	10	1	7	0	3	5	7	0	2	0	3	4	0	1	2	2	2	2	0	0	0	4	0	11	2	0	0	10	2	2	0	1	2	2	2	1	2	0	5	1	1	0	1	2	2	1	0	0	3	1	1	2	11	0	3	3	1	11	4	0	0	3	2	1	2	1	0	0	4	0	10	6	0	1	6	14	1	3	10	0	6	2	8	1	1	2	14	5	3	5	1	7	0	0	0	2	3	4	3	4	14	1	2	8	0	1	0	11	2	0	0	1	1	0	1	2	1	3	1	3	2	0	1	16	3	3	9	1	1	2	1	4	4	0	3	11	2	6	3	2	3	3	0	1	2	2	4	2	0	5	2	3	3	13	0	10	6	4	0	8	0	4	3	10	5	3	4	3	7
43 Folders	5	2	28	0	15	26	1	0	48	3	3	3	0	1	11	14	1	37	32	1	55	26	5	5	24	10	54	1	3	6	2	5	46	2	1	15	7	19	6	3	75	16	2	8	3	0	5	0	8	2	21	10	0	5	7	20	20	3	0	0	3	17	10	13	7	10	7	0	17	14	11	1	2	8	7	4	4	1	1	2	11	6	9	20	1	77	27	6	3	18	5	17	0	2	8	45	4	14	21	3	45	21	3	1	2	18	14	14	5	5	3	0	1	16	24	3	4	3	9	16	11	27	11	40	2	13	16	10	0	4	12	5	5	6	3	59	9	25	22	48	4	10	74	7	17	0	2	5	2	4	36	3	13	8	3	3	4	20	41	14	1	0	27	36	0	1	1	22	3	4	5	24	2	1	19	43	4	8	8	83	11	39	10	3	2	29	3	6	14	4	5	5	2	11	4	2	10	8	8	30	7	5	10	2	28	18	3	2	21	1	2	2	2	3	12	3	10	21	1	2	29	0	2	15	24	4	4	6	39	11	2	4	50	28	26	26	17	0	4	13	4	27	2	6	4	1	0	1	46	47	6	18	14	4	0	3	1	59	45	2	70	4	13	6	2	9	13	6	0	11	15	7	14	22	1	2	10	0	33	31	29	28	16	3	8	4	50	15	13	0	0	27	7	3	9	5	10	13	0	5	0	1	0	10	4	4	0	7	7	8	2	16	6	10	11	17	6	2	41	10	16	7	0	14	3	6	2	1	25	7	2	19	25	7	6	1	4	37	16	0	4	0	1	13	6	10	1	3	5	20	12	20	1	1	82	188	3	7	29	4	13	2	8	5	7	13	19	2	14	2	2	6	1	0	1	2	12	32	2	37	30	13	5	13	2	3	5	7	4	3	38	3	10	0	5	5	3	26	0	11	12	2	5	33	7	3	3	2	3	16	9	7	6	9	7	28	2	3	1	3	21	3	15	5	4	8	11	13	0	23	0	4	35	44	1	4	45	70	3	13	13	21	25	40	57	11	13	28	22
Official Google Blog	2	4	9	14	1	17	7	2	46	3	0	12	3	1	1	14	2	9	8	9	7	7	9	8	19	3	87	9	13	0	9	1	36	9	2	8	9	0	6	33	27	21	4	1	7	19	2	5	11	2	6	18	2	14	8	22	26	1	15	0	25	4	20	40	13	2	0	3	3	1	2	3	9	6	2	1	14	3	7	3	14	23	16	6	5	6	24	16	8	30	8	4	7	2	3	12	7	1	14	1	21	20	6	0	5	4	6	6	3	7	13	3	5	3	3	2	4	1	6	9	1	2	1	29	4	4	2	11	3	3	4	0	0	1	10	19	0	10	29	45	3	5	17	3	25	8	2	2	3	1	12	6	4	7	3	3	14	6	17	18	4	5	0	33	0	6	1	4	7	1	5	27	4	3	7	1	4	29	1	85	6	2	0	8	3	11	4	5	4	2	6	0	7	0	3	2	4	2	10	39	1	11	5	8	20	1	5	1	31	0	8	3	2	3	1	4	8	16	6	6	1	2	8	2	11	3	1	11	4	8	1	2	20	49	7	6	1	5	4	12	5	7	3	7	9	8	2	3	11	8	1	2	1	2	0	4	1	10	34	3	30	7	0	0	1	5	4	3	0	10	5	3	1	4	17	0	7	13	4	5	21	3	9	0	3	5	29	2	3	6	1	4	7	1	2	1	1	7	10	6	2	6	35	7	9	3	3	15	5	11	11	9	2	3	1	6	12	10	17	22	0	1	11	6	3	1	2	6	12	2	166	14	6	2	1	0	4	11	25	5	11	13	3	1	5	3	11	1	0	2	9	2	12	1	14	16	7	2	13	0	9	2	3	3	9	8	36	1	2	4	0	4	0	0	5	1	8	9	5	9	28	0	32	29	1	2	6	7	16	4	10	5	3	3	5	5	2	7	2	9	13	1	2	18	3	2	2	1	2	2	12	3	2	2	0	5	0	11	5	2	10	7	0	8	3	15	19	14	15	9	6	4	68	21	2	2	26	20	1	15	3	3	0	14	9	2	12	8	17
Autoblog	3	0	0	1	3	0	1	0	1	1	0	0	5	0	0	1	0	0	0	4	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	3	1	6	4	1	4	5	0	0	1	0	7	4	0	4	3	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	7	0	1	0	0	0	0	39	0	1	0	0	0	0	38	0	0	0	8	3	0	0	0	1	3	0	4	0	4	7	0	0	2	0	6	0	0	1	1	0	39	0	0	7	4	0	9	0	0	0	0	0	0	1	0	0	0	1	1	0	0	4	0	0	0	0	3	0	0	0	0	0	15	0	0	0	2	6	0	3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	6	0	1	0	3	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	1	0	2	1	3	0	1	0	2	4	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	14	3	0	0	3	1	0	0	0	1	2	5	0	0	1	0	0	0	0	0	0	39	0	0	0	1	0	4	0	0	0	0	0	0	0	1	1	45	4	0	0	156	0	3	0	0	1	2	0	0	4	0	1	3	0	39	1	1	0	0	0	4	0	0	0	1	3	0	3	0	1	0	1	4	2	0	0	0	0	0	0	0	1	3	1	0	0	39	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	1	3	1	3	5	1	1	0	0	1	0	0	39	0	2	0	0	0	0	0	0	1	0	3	1	0	0	0	0	2	7	1	1	0	1	0	4	4	0	0	0	0	0	1	5	0	2	0	3	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	1	3	0	0	0	0	0	0	40	1	1	1	2	0	39	6	1	0	1	0	0	1	8	0	0	0	1	0	0	0	1
Daily Kos	10	5	26	0	6	17	0	10	22	5	3	2	2	3	11	4	5	19	7	2	5	34	4	3	17	6	31	0	15	3	0	2	20	5	4	3	5	1	5	2	45	17	9	12	0	24	3	1	12	0	18	10	0	3	24	9	16	2	0	5	3	22	14	9	1	0	11	2	20	4	8	3	2	7	7	2	0	1	1	7	5	6	26	4	13	15	13	6	3	10	1	7	1	4	5	9	2	5	15	4	39	14	5	1	2	4	8	8	5	0	7	9	3	14	21	8	6	2	14	11	2	6	3	10	2	7	6	0	6	7	2	7	2	5	1	12	2	17	33	108	2	16	24	6	2	3	10	2	12	4	15	3	10	5	0	1	3	23	24	22	1	0	5	32	0	4	5	16	8	2	6	24	7	2	6	2	1	2	5	21	4	5	7	3	5	17	0	1	9	1	18	9	8	7	8	3	14	8	15	14	3	10	17	3	16	16	2	10	13	5	2	1	0	1	27	5	11	9	4	3	22	2	2	9	16	1	3	8	99	7	1	5	21	22	7	15	3	4	3	10	4	7	3	6	8	5	5	9	19	6	2	3	31	18	1	8	1	35	11	5	38	3	4	10	2	15	13	6	1	8	18	2	7	8	0	1	29	2	16	15	15	13	39	2	2	16	25	14	2	4	7	14	2	5	6	11	7	6	13	1	7	10	1	22	2	2	4	11	3	5	23	4	4	4	9	10	4	2	26	8	8	3	1	0	2	4	3	1	17	4	4	0	11	3	4	1	2	14	15	4	0	14	2	7	0	8	1	0	2	16	8	44	0	6	5	14	7	3	33	0	5	8	3	1	5	6	39	5	15	8	6	6	2	6	13	3	2	11	2	33	36	19	9	17	3	8	8	3	2	5	18	0	6	37	2	10	14	12	19	19	4	4	0	43	9	3	1	6	2	7	3	3	7	3	7	84	3	0	1	7	8	7	2	0	2	0	6	11	12	8	9	7	23	45	2	0	30	70	2	15	2	12	0	11	38	6	12	5	23
Google Blogoscoped	0	0	2	0	0	2	0	0	5	6	1	0	1	0	0	4	1	4	0	0	1	3	1	1	1	0	3	0	0	0	0	2	4	0	0	2	2	0	0	0	7	1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	1	2	2	0	0	0	2	0	0	0	1	2	0	0	2	0	1	4	0	2	0	0	0	2	0	0	3	0	3	1	1	0	1	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0	0	1	0	4	4	0	1	4	0	3	0	0	0	0	0	1	0	3	4	7	0	2	3	0	0	1	1	0	2	0	1	1	1	1	1	0	0	0	4	0	0	0	0	1	2	1	0	2	0	0	1	1	0	1	0	2	0	4	0	8	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	2	0	2	1	1	2	3	0	0	0	1	0	2	0	2	1	0	0	0	2	0	1	0	0	0	0	2	0	0	1	2	0	0	1	4	8	0	1	0	0	0	0	0	0	1	2	2	0	1	0	4	2	0	0	2	0	0	0	1	8	3	1	6	0	0	1	0	1	1	1	3	0	1	0	1	0	0	0	0	0	1	0	2	0	1	0	1	1	5	0	1	2	0	3	2	0	1	0	0	0	0	0	0	0	1	3	0	0	0	1	1	0	0	0	3	0	0	0	4	0	3	3	0	1	1	0	1	0	0	4	0	0	28	1	3	0	1	0	1	6	3	0	1	0	0	0	0	0	3	2	0	0	1	11	4	0	4	7	1	0	1	0	3	0	2	0	0	1	4	1	2	1	3	0	0	0	1	1	0	0	0	6	4	1	0	1	0	2	0	2	2	0	3	0	0	0	0	1	1	0	0	0	0	0	1	5	0	1	0	0	0	0	5	1	0	0	0	1	0	0	0	4	1	1	1	0	1	4	3	1	0	2	0	0	3	2	0	0	5	5	0	0	0	0	0	2	5	0	0	2	4
Deadspin	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	2	0	3	1	0	0	1	2	0	0	0	1	0	2	0	0	0	5	4	1	0	0	0	0	0	8	0	0	2	2	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	1	2	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	3	1	3	0	0	1	4	0	2	0	3	0	0	2	0	5	4	0	0	1	0	0	0	2	0	2	1	2	2	2	0	1	0	0	5	1	0	3	5	0	4	0	0	0	0	1	1	0	0	0	0	0	2	1	11	0	1	2	2	1	0	1	3	0	1	2	0	0	6	5	1	0	2	4	0	0	0	0	1	0	0	0	5	1	0	0	3	1	3	1	26	3	0	1	12	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	1	2	2	2	0	0	0	1	3	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	1	7	0	0	0	1	3	1	5	0	0	0	1	0	0	1	1	0	0	0	0	1	2	2	1	0	0	0	2	1	2	1	1	3	0	0	1	0	1	1	4	3	1	0	3	1	2	0	0	1	1	1	3	2	1	1	0	0	4	6	2	0	0	1	1	1	1	0	1	1	0	0	0	1	1	0	3	0	0	0	0	0	2	0	1	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	1	0	3	1	0	1	2	0	1	1	5	2	3	1	1	0	2	2	0	0	0	6	0	2	2	0	0	5	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	2	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	7	0	0	0	0	1	0	0	0	0	0	1	1	0	4	0	0	3	6	0	0	1	1	0	0	0	0	0	3	1	0	0	1	0
The Dish	0	2	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	1	0	3	4	0	1	0	3	5	1	2	0	0	0	6	0	0	7	0	0	0	0	6	11	0	3	2	1	1	0	0	0	1	1	0	0	2	0	3	0	1	1	0	0	4	7	0	2	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	7	3	2	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	3	0	0	3	3	2	0	1	0	0	1	1	0	1	1	1	3	0	7	0	8	0	2	3	0	1	0	2	0	4	0	0	0	0	1	0	0	0	2	2	3	0	1	0	4	0	0	2	3	1	0	0	5	0	0	1	9	1	0	0	12	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	2	0	0	1	3	0	1	1	1	0	2	3	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	3	0	0	2	4	2	0	2	0	1	0	1	1	2	1	0	2	2	1	0	4	1	1	0	4	1	0	1	0	2	2	0	4	0	1	1	0	1	2	0	0	0	1	1	1	2	0	0	2	1	1	1	4	2	1	0	0	0	2	1	3	0	2	2	1	0	2	1	0	0	3	1	0	1	0	1	0	0	0	4	0	0	2	1	3	0	2	3	0	0	5	2	3	2	0	1	0	1	0	1	2	0	0	2	3	1	1	1	1	3	9	0	0	0	1	1	0	2	0	0	0	2	1	1	0	0	11	17	1	3	3	2	0	0	0	1	0	0	7	0	1	1	1	0	0	0	2	0	0	3	0	6	5	0	0	1	0	0	0	1	2	0	1	1	0	0	0	0	1	0	0	1	2	0	6	3	0	0	0	1	3	1	1	0	3	0	2	11	1	1	4	2	6	0	0	0	0	0	1	0	0	0	1	0	4	3	0	1	2	5	0	3	0	0	3	6	1	0	1	2	2
Go Fug Yourself	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	20	2	0	0	3	1	0	1	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	19	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	11
